investor_id,avg_gap_days,max_gap_days,sip_count,status
INV000004,85.4,265.0,5,At-Risk
INV000008,70.4,165.0,5,At-Risk
INV000010,64.8,139.0,5,At-Risk
INV000011,40.166666666666664,125.0,6,At-Risk
INV000012,57.0,132.0,7,At-Risk
INV000013,55.333333333333336,104.0,6,At-Risk
INV000014,75.33333333333333,128.0,6,At-Risk
INV000023,58.57142857142857,115.0,7,At-Risk
INV000028,93.6,238.0,5,At-Risk
INV000029,60.666666666666664,96.0,6,At-Risk
INV000030,47.625,100.0,8,At-Risk
INV000033,45.57142857142857,87.0,7,At-Risk
INV000039,68.6,129.0,5,At-Risk
INV000045,70.6,109.0,5,At-Risk
INV000048,46.0,168.0,8,At-Risk
INV000052,36.2,120.0,5,At-Risk
INV000056,74.8,161.0,5,At-Risk
INV000057,49.714285714285715,149.0,7,At-Risk
INV000069,49.111111111111114,129.0,9,At-Risk
INV000072,83.0,247.0,5,At-Risk
INV000073,48.25,112.0,8,At-Risk
INV000074,72.57142857142857,191.0,7,At-Risk
INV000075,74.8,102.0,5,At-Risk
INV000076,91.8,203.0,5,At-Risk
INV000079,65.8,90.0,5,At-Risk
INV000081,81.33333333333333,167.0,6,At-Risk
INV000082,83.66666666666667,351.0,6,At-Risk
INV000086,44.666666666666664,167.0,9,At-Risk
INV000087,92.8,202.0,5,At-Risk
INV000091,44.0,105.0,7,At-Risk
INV000093,55.5,91.0,6,At-Risk
INV000094,44.8,95.0,5,At-Risk
INV000095,69.4,155.0,5,At-Risk
INV000097,54.5,183.0,6,At-Risk
INV000101,65.0,197.0,7,At-Risk
INV000102,65.28571428571429,109.0,7,At-Risk
INV000103,83.4,232.0,5,At-Risk
INV000105,57.0,87.0,7,At-Risk
INV000109,46.25,63.0,8,At-Risk
INV000113,46.0,144.0,7,At-Risk
INV000123,59.666666666666664,142.0,6,At-Risk
INV000128,82.0,181.0,5,At-Risk
INV000131,56.0,123.0,6,At-Risk
INV000132,71.0,139.0,5,At-Risk
INV000133,88.2,265.0,5,At-Risk
INV000138,76.2,220.0,5,At-Risk
INV000145,89.4,282.0,5,At-Risk
INV000146,66.8,171.0,5,At-Risk
INV000148,52.0,168.0,8,At-Risk
INV000155,37.333333333333336,99.0,6,At-Risk
INV000161,73.0,213.0,6,At-Risk
INV000163,61.0,80.0,7,At-Risk
INV000164,61.8,208.0,5,At-Risk
INV000169,67.83333333333333,145.0,6,At-Risk
INV000173,57.666666666666664,165.0,6,At-Risk
INV000175,83.66666666666667,170.0,6,At-Risk
INV000177,65.42857142857143,278.0,7,At-Risk
INV000180,61.8,229.0,5,At-Risk
INV000183,56.125,216.0,8,At-Risk
INV000191,56.5,161.0,6,At-Risk
INV000194,58.0,109.0,6,At-Risk
INV000195,77.4,114.0,5,At-Risk
INV000196,69.0,176.0,6,At-Risk
INV000201,51.125,100.0,8,At-Risk
INV000205,62.57142857142857,193.0,7,At-Risk
INV000210,70.71428571428571,163.0,7,At-Risk
INV000214,94.8,306.0,5,At-Risk
INV000217,92.0,183.0,5,At-Risk
INV000228,59.75,188.0,8,At-Risk
INV000236,67.14285714285714,112.0,7,At-Risk
INV000238,93.6,287.0,5,At-Risk
INV000239,48.857142857142854,105.0,7,At-Risk
INV000243,88.2,137.0,5,At-Risk
INV000245,92.2,164.0,5,At-Risk
INV000249,45.5,162.0,6,At-Risk
INV000252,50.4,96.0,5,At-Risk
INV000255,48.6,103.0,5,At-Risk
INV000256,70.2,155.0,5,At-Risk
INV000259,70.6,165.0,5,At-Risk
INV000260,59.57142857142857,206.0,7,At-Risk
INV000262,53.57142857142857,122.0,7,At-Risk
INV000263,68.42857142857143,271.0,7,At-Risk
INV000265,53.44444444444444,140.0,9,At-Risk
INV000268,62.333333333333336,143.0,6,At-Risk
INV000279,43.375,133.0,8,At-Risk
INV000280,55.75,191.0,8,At-Risk
INV000283,68.0,195.0,5,At-Risk
INV000287,69.83333333333333,301.0,6,At-Risk
INV000289,62.714285714285715,142.0,7,At-Risk
INV000291,89.0,196.0,5,At-Risk
INV000292,46.0,95.0,6,At-Risk
INV000293,47.0,91.0,6,At-Risk
INV000297,90.6,163.0,5,At-Risk
INV000299,85.2,240.0,5,At-Risk
INV000304,70.0,204.0,6,At-Risk
INV000309,52.0,157.0,7,At-Risk
INV000310,75.83333333333333,164.0,6,At-Risk
INV000318,97.4,175.0,5,At-Risk
INV000319,73.5,201.0,6,At-Risk
INV000321,72.83333333333333,204.0,6,At-Risk
INV000328,37.5,73.0,8,At-Risk
INV000331,50.714285714285715,163.0,7,At-Risk
INV000334,25.5,60.0,6,Regular
INV000335,96.0,279.0,5,At-Risk
INV000339,94.0,195.0,5,At-Risk
INV000341,54.42857142857143,191.0,7,At-Risk
INV000356,54.4,157.0,5,At-Risk
INV000359,54.125,197.0,8,At-Risk
INV000363,77.0,153.0,6,At-Risk
INV000369,43.8,112.0,5,At-Risk
INV000371,59.285714285714285,147.0,7,At-Risk
INV000372,54.5,121.0,6,At-Risk
INV000380,97.0,272.0,5,At-Risk
INV000388,53.625,119.0,8,At-Risk
INV000392,77.16666666666667,205.0,6,At-Risk
INV000395,55.666666666666664,119.0,6,At-Risk
INV000396,83.2,153.0,5,At-Risk
